County,TotalPop,IncomePerCap,Poverty,Id,%Poverty,cases,deaths,TotalCases,TotalDeaths,TotalCasesper100k,TotalDeathsper100k
"Abbeville County, South Carolina",24788,116417,133.1,1,0.536953365,206727,3934,206727,3934,2.06727,0.03934
"Acadia Parish, Louisiana",62607,257451,263.2,2,0.420400275,,,,,,
"Accomack County, Virginia",32840,198158,160.9,3,0.489951279,389637,5758,389637,5758,3.89637,0.05758
"Ada County, Idaho",435117,1927687,743.9,4,0.17096551,5230256,50724,5230256,50724,52.30256,0.50724
"Adair County, Iowa",7192,86522,28.7,5,0.399054505,70396,1792,70396,1792,0.70396,0.01792
"Adair County, Kentucky",19304,127766,156.3,6,0.809676751,178833,8026,178833,8026,1.78833,0.08026
"Adair County, Missouri",25437,135423,235,7,0.923851083,215543,1022,215543,1022,2.15543,0.01022
"Adair County, Oklahoma",22136,83940,150,8,0.677629201,276468,2927,276468,2927,2.76468,0.02927
"Adams County, Colorado",487850,2628486,1230.1,9,0.252147176,5304490,85634,5304490,85634,53.0449,0.85634
"Adams County, Idaho",3946,48912,26.9,10,0.68170299,26750,394,26750,394,0.2675,0.00394
"Adams County, Illinois",66787,460054,286.3,11,0.428676239,776519,10451,776519,10451,7.76519,0.10451
"Adams County, Indiana",35018,156454,122.9,12,0.350962362,290788,4051,290788,4051,2.90788,0.04051
"Adams County, Iowa",3785,54197,21.7,13,0.57331572,30001,251,30001,251,0.30001,0.00251
"Adams County, Mississippi",31583,168117,311.2,14,0.985340215,302532,11478,302532,11478,3.02532,0.11478
"Adams County, Nebraska",31564,246715,126.3,15,0.400139399,308803,5347,308803,5347,3.08803,0.05347
"Adams County, North Dakota",2368,35933,9.2,16,0.388513514,24283,139,24283,139,0.24283,0.00139
"Adams County, Ohio",27926,120617,152.1,17,0.544653728,156850,2025,156850,2025,1.5685,0.02025
"Adams County, Pennsylvania",101589,679306,218.9,18,0.215476085,560940,12887,560940,12887,5.6094,0.12887
"Adams County, Washington",19261,100646,106.1,19,0.550854057,250691,2503,250691,2503,2.50691,0.02503
"Adams County, Wisconsin",20111,176464,91.1,20,0.452985928,172742,1716,172742,1716,1.72742,0.01716
"Addison County, Vermont",36825,311032,81.2,21,0.220502376,54991,868,54991,868,0.54991,0.00868
"Adjuntas Municipio, Puerto Rico",18525,42521,391.5,22,2.113360324,,,,,,
"Aguada Municipio, Puerto Rico",39470,80502,467.3,23,1.183937167,,,,,,
"Aguadilla Municipio, Puerto Rico",55722,168867,871.9,24,1.564732063,,,,,,
"Aguas Buenas Municipio, Puerto Rico",26855,61326,291.9,25,1.086948427,,,,,,
"Aibonito Municipio, Puerto Rico",24008,61197,296.5,26,1.235004998,,,,,,
"Aiken County, South Carolina",165707,829725,539.3,27,0.325453964,1376869,22183,1376869,22183,13.76869,0.22183
